id,name,cluster,era,target,good,scope,authority,askesis,stance,ultimate,confidence,note,source,sourced
cyrenaic,Cyrenaicism,greek,-400,self,positive_pleasure,self,reason,light,revisionary,none,med,Positive bodily pleasure of the present moment; explicitly denied that absence of pain is pleasure,Diogenes Laertius II.87-89 (Cyrenaic rejection of Epicurean painlessness),yes
epicurean,Epicureanism,greek,-300,self,absence_of_suffering,self,reason,heavy,revisionary,none,high,Ataraxia and aponia as the end; katastematic pleasure is the removal of pain,"Annas, The Morality of Happiness (1993), 188, 336; Wolfsdorf, Elenchos 36 (2015) on katastematic/kinetic",yes
stoic,Stoicism,greek,-300,self,virtue_character,all_humans,reason,heavy,revisionary,impersonal_order,high,Virtue the only good; oikeiosis grounded in shared rationality excludes animals,"Sedley, 'Oikeiosis', Routledge Encyclopedia of Philosophy; SEP 'Stoicism' 4.5-4.6",yes
cynic,Cynicism,greek,-400,self,virtue_character,self,reason,heavy,revisionary,impersonal_order,high,Virtue as life according to nature; ascetic rejection of convention,"unverified in this build - coded from general knowledge, not checked against a located source",no
pyrrhonist,Pyrrhonism,greek,-330,self,absence_of_suffering,self,practice,heavy,revisionary,none,high,Ataraxia via suspension of judgement,"Beckwith, Greek Buddha (2015); Diogenes Laertius on Pyrrho and the gymnosophists; rev. BMCR 2016.02.32",yes
aristotelian,Aristotelian eudaimonism,greek,-340,self,objective_plural,role_network,reason,light,revisionary,none,high,Eudaimonia as activity of virtue over a complete life,"Aristotle, Nicomachean Ethics, Irwin trans.; listed as an objective-list exemplar in Parfit (1984), 493",yes
platonist,Platonism,greek,-380,self,union_transcendent,cosmos,reason,heavy,revisionary,impersonal_order,high,Ascent to the Form of the Good,"unverified in this build - coded from general knowledge, not checked against a located source",no
confucian,Confucianism,chinese,-500,self,role_harmony,role_network,tradition,light,revisionary,none,high,Graded love; person constituted by roles rather than prior to them,"Rosemont & Ames, Confucian Role Ethics (2016); Ames (2011), 91, 168",yes
mohist,Mohism,chinese,-430,world,objective_plural,all_humans,reason,none,revisionary,none,med,Impartial care; basic goods are order material welfare and population not pleasure,"Fraser, The Philosophy of the Mozi: The First Consequentialists (2016); Mozi ch.14-16, Ivanhoe trans.",yes
daoist,Daoism,chinese,-350,self,union_transcendent,cosmos,practice,light,revisionary,impersonal_order,med,Wu wei and ziran; resists propositional statement of the good,"unverified in this build - coded from general knowledge, not checked against a located source",no
neoconfucian,Neo-Confucianism,chinese,1150,self,role_harmony,cosmos,tradition,heavy,revisionary,impersonal_order,med,Role harmony extended to cosmic principle; heavy self-cultivation,"unverified in this build - coded from general knowledge, not checked against a located source",no
chan,Chan and Zen,chinese,700,both,absence_of_suffering,all_sentient,practice,heavy,revisionary,no_self,high,Direct practice over doctrine; Mahayana bodhisattva orientation,"unverified in this build - coded from general knowledge, not checked against a located source",no
theravada,Early Buddhism,indian,-450,self,absence_of_suffering,all_sentient,practice,heavy,revisionary,no_self,high,Cessation of dukkha; anatta denies the fixed self Stoicism assumes,Four Noble Truths; anatta as one of the three marks of existence,yes
mahayana,Mahayana Buddhism,indian,100,both,absence_of_suffering,all_sentient,practice,heavy,revisionary,no_self,high,Bodhisattva vow turns liberation outward,"unverified in this build - coded from general knowledge, not checked against a located source",no
advaita,Advaita Vedanta,indian,800,self,union_transcendent,cosmos,revelation,heavy,revisionary,identity_impersonal,high,Moksha as realisation of identity with Brahman,"Chandogya Upanishad mahavakya (tat tvam asi), as transmitted in the Schopenhauer reception literature",yes
jain,Jainism,indian,-500,self,absence_of_suffering,all_sentient,revelation,heavy,revisionary,liberated_soul,high,Ahimsa extended to all life; liberation through austerity,"unverified in this build - coded from general knowledge, not checked against a located source",no
carvaka,Carvaka,indian,-600,self,positive_pleasure,self,reason,none,revisionary,none,low,Egoistic hedonism and materialism; hedonism charge may be hostile caricature and primary text is lost,"IEP, 'Lokayata/Carvaka - Indian Materialism'; Britannica, 'Charvaka'. Primary text (Brhaspati Sutra) lost; hedonism charge may be hostile.",yes
yoga,Patanjali Yoga,indian,200,self,union_transcendent,self,practice,heavy,revisionary,liberated_soul,high,Eight limbs toward kaivalya,"unverified in this build - coded from general knowledge, not checked against a located source",no
bhakti,Bhakti,indian,700,self,union_transcendent,cosmos,revelation,heavy,revisionary,union_personal,med,Devotional union with a personal god,"unverified in this build - coded from general knowledge, not checked against a located source",no
monastic,Christian monasticism,abrahamic,500,self,union_transcendent,cosmos,revelation,heavy,revisionary,union_personal,high,Rule-governed common life ordered to God,"unverified in this build - coded from general knowledge, not checked against a located source",no
thomist,Thomistic natural law,abrahamic,1270,both,objective_plural,all_humans,revelation,light,revisionary,union_personal,high,Objective goods knowable by reason and completed by grace,"unverified in this build - coded from general knowledge, not checked against a located source",no
ignatian,Ignatian spirituality,abrahamic,1540,both,union_transcendent,cosmos,revelation,heavy,revisionary,union_personal,high,Structured exercises and discernment then action in the world,"unverified in this build - coded from general knowledge, not checked against a located source",no
sufi_wujud,Sufism (wahdat al-wujud),abrahamic,1200,self,union_transcendent,cosmos,revelation,heavy,revisionary,identity_impersonal,med,"Ibn Arabi lineage; union as the highest attainment, read by critics as tending to identity",Ibn Arabi; Millati J. Islamic Studies & Humanities (Dec 2021) on wahdat al-wujud,yes
sufi_shuhud,Sufism (wahdat al-shuhud),abrahamic,1600,self,union_transcendent,cosmos,revelation,heavy,revisionary,union_personal,med,Sirhindi lineage; union is one stage only and the final truth is difference and servitude,"Sirhindi, Maktubat; Firdaus & Sahib on wahdat al-shuhud as a correction of Ibn Arabi",yes
mussar,Mussar,abrahamic,1000,self,virtue_character,role_network,tradition,heavy,revisionary,union_personal,med,Systematic character correction within covenantal obligation,"unverified in this build - coded from general knowledge, not checked against a located source",no
akhlaq,Islamic akhlaq,abrahamic,980,self,virtue_character,all_humans,revelation,light,revisionary,union_personal,med,Virtue ethics synthesising Aristotle with revelation,"unverified in this build - coded from general knowledge, not checked against a located source",no
bentham,Classical utilitarianism,academic,1789,world,positive_pleasure,all_sentient,reason,none,descriptive,none,high,Aggregate pleasure over pain,"Bentham, Introduction to the Principles of Morals and Legislation; Parfit (1984), 493",yes
mill,Millian utilitarianism,academic,1861,world,positive_pleasure,all_sentient,reason,none,descriptive,none,med,Higher and lower pleasures; affinities with objective list views,"Mill, Utilitarianism (1861). Clark notes Mill is usually forced into hedonism despite Aristotelian affinities.",yes
singer,Preference utilitarianism,academic,1975,world,desire_satisfaction,all_sentient,reason,none,descriptive,none,high,Equal consideration of interests across species,"Singer, Animal Liberation (1975); utilitarianism.net, 'Theories of Well-Being'",yes
kantian,Kantian deontology,academic,1785,world,rational_agency,all_humans,reason,none,descriptive,none,low,Primarily a theory of right not of the good life; coding is a forced fit,"Kant, Groundwork (1785). Coding is a forced fit: primarily a theory of right, not of the good life.",yes
contractualist,Contractualism,academic,1998,world,rational_agency,all_humans,reason,none,descriptive,none,med,Principles no one could reasonably reject,"unverified in this build - coded from general knowledge, not checked against a located source",no
capabilities,Capabilities approach,academic,2011,world,objective_plural,all_humans,reason,none,descriptive,none,high,Central capabilities as an explicit objective list,"Nussbaum, Creating Capabilities (2011); cited as an explicit objective list in Clark, 'Philosophical Taxonomies of Well-Being'",yes
egoist,Ethical egoism,academic,1900,self,desire_satisfaction,self,reason,none,descriptive,none,high,Agent-relative maximisation of own interest,"unverified in this build - coded from general knowledge, not checked against a located source",no
careethics,Care ethics,academic,1984,both,role_harmony,role_network,practice,light,descriptive,none,high,Partiality and graded concern within concrete relationships,"Noddings, Caring (1984); Li Chenyang, Hypatia 9:1 (1994) on ren and care ethics",yes
neoaristotelian,Neo-Aristotelian virtue ethics,academic,1981,self,virtue_character,role_network,tradition,light,revisionary,none,high,Revival of virtue and tradition against modern moral theory,"unverified in this build - coded from general knowledge, not checked against a located source",no
narrative,Narrative and authenticity theories,academic,1981,self,chosen_created,self,construction,light,descriptive,none,med,Wellbeing depends on self-narration or a reflexive relation to one's life,"MacIntyre, After Virtue (1981); Rosati, 'The Story of a Life', Soc. Phil. & Policy 30 (2013)",yes
ea,Effective altruism,secular,2009,world,welfare_agnostic,all_sentient,reason,none,revisionary,none,high,Impartial welfarism agnostic between theories of wellbeing,"unverified in this build - coded from general knowledge, not checked against a located source",no
secbuddhist,Secular Buddhism,secular,1990,self,absence_of_suffering,self,practice,heavy,revisionary,no_self,med,Practice retained metaphysics dropped,"unverified in this build - coded from general knowledge, not checked against a located source",no
